numero,coord_x,coord_y
1561,616198,955938
1562,616198,955938
1563,616198,955938
1564,616199,955938
1565,616199,955938
1566,616202,955935
1567,616202,955935
1568,616206,955933
1569,616206,955933
1570,616209,955931
1571,616209,955931
1572,616212,955928
1573,616212,955928
1574,616216,955926
1575,616216,955926
1576,616219,955923
1577,616219,955923
1578,616223,955921
1579,616223,955921
1580,616226,955918
1581,616226,955918
1582,616230,955916
1583,616230,955916
1584,616233,955914
1585,616233,955914
1586,616236,955911
1587,616236,955911
1588,616240,955909
1589,616240,955909
1590,616243,955906
1591,616243,955906
1592,616247,955904
1593,616247,955904
1594,616250,955901
1595,616250,955901
1596,616254,955899
1597,616254,955899
1598,616257,955897
1599,616257,955897
1600,616260,955894
1601,616260,955894
1602,616264,955892
1603,616264,955892
1604,616267,955889
1605,616267,955889
1606,616271,955887
1607,616271,955887
1608,616274,955885
1609,616274,955885
1610,616278,955882
1611,616278,955882
1612,616281,955880
1613,616281,955880
1614,616284,955877
1615,616284,955877
1616,616288,955875
1617,616288,955875
1618,616291,955872
1619,616291,955872
1620,616295,955870
1621,616295,955870
1622,616298,955868
1623,616298,955868
1624,616302,955865
1625,616302,955865
1626,616305,955863
1627,616305,955863
1628,616309,955860
1629,616309,955860
1630,616312,955858
1631,616312,955858
1632,616316,955856
1633,616316,955856
1634,616319,955853
1635,616319,955853
1636,616322,955851
1637,616322,955851
1638,616326,955848
1639,616326,955848
1640,616329,955846
1641,616329,955846
1642,616333,955843
1643,616333,955843
1644,616336,955841
1645,616336,955841
1646,616340,955839
1647,616340,955839
1648,616343,955836
1649,616343,955836
1650,616347,955834
1651,616347,955834
1652,616350,955831
1653,616350,955831
1654,616354,955829
1655,616354,955829
1656,616357,955826
1657,616357,955826
1658,616360,955824
1659,616360,955824
1660,616364,955821
1661,616364,955821
1662,616367,955819
1663,616367,955819
1664,616371,955817
1665,616371,955817
1666,616374,955814
1667,616374,955814
1668,616378,955812
1669,616378,955812
1670,616381,955810
1671,616381,955810
1672,616385,955807
1673,616385,955807
1674,616388,955805
1675,616388,955805
1676,616392,955802
1677,616392,955802
1678,616395,955800
1679,616395,955800
1680,616399,955798
1681,616399,955798
1682,616402,955795
1683,616402,955795
1684,616405,955793
1685,616405,955793
1686,616409,955790
1687,616409,955790
1688,616412,955788
1689,616412,955788
1690,616416,955786
1691,616416,955786
1692,616419,955783
1693,616419,955783
1694,616423,955781
1695,616423,955781
1696,616426,955778
1697,616426,955778
1698,616429,955776
1699,616429,955776
1700,616433,955773
1701,616433,955773
1702,616436,955771
1703,616436,955771
1704,616440,955768
1705,616440,955768
1706,616443,955766
1707,616443,955766
1708,616446,955764
1709,616446,955764
1710,616450,955761
1711,616450,955761
1712,616453,955759
1713,616453,955759
1714,616457,955756
1715,616457,955756
1716,616460,955754
1717,616460,955754
1718,616463,955751
1719,616463,955751
1720,616467,955749
1721,616467,955749
1722,616470,955746
1723,616470,955746
1724,616474,955744
1725,616474,955744
1726,616477,955741
1727,616477,955741
1728,616480,955739
1729,616480,955739
1730,616484,955736
1731,616484,955736
1732,616487,955734
1733,616487,955734
1734,616490,955731
1735,616490,955731
1736,616494,955729
1737,616494,955729
1738,616497,955726
1739,616497,955726
1740,616501,955724
1741,616501,955724
1742,616504,955721
1743,616504,955721
1744,616507,955719
1745,616507,955719
1746,616511,955716
1747,616511,955716
1748,616514,955714
1749,616514,955714
1750,616517,955711
1751,616517,955711
1752,616520,955708
1753,616520,955708
1754,616524,955706
1755,616524,955706
1756,616527,955703
1757,616527,955703
1758,616530,955700
1759,616530,955700
1760,616536,955694
1761,616536,955694
1762,616538,955691
1763,616538,955691
1764,616541,955688
1765,616541,955688
1766,616544,955685
1767,616544,955685
1768,616546,955682
1769,616546,955682
1770,616549,955678
1771,616549,955678
1772,616552,955675
1773,616552,955675
1774,616554,955672
1775,616554,955672
1776,616557,955668
1777,616557,955668
1778,616559,955665
1779,616559,955665
1780,616561,955661
1781,616561,955661
1782,616563,955658
1783,616563,955658
1784,616566,955654
1785,616566,955654
1786,616568,955650
1787,616568,955650
1788,616570,955647
1789,616570,955647
1790,616571,955643
1791,616571,955643
1792,616573,955639
1793,616573,955639
1794,616575,955636
1795,616575,955636
1796,616577,955632
1797,616577,955632
1798,616578,955628
1799,616578,955628
1800,616580,955624
1801,616580,955624
1802,616581,955620
1803,616581,955620
1804,616583,955616
1805,616583,955616
1806,616584,955612
1807,616584,955612
1808,616585,955608
1809,616585,955608
1810,616586,955604
1811,616586,955604
1812,616587,955600
1813,616587,955600
