numero,coord_x,coord_y
18,504911,1094857
19,504911,1094857
20,504915,1094856
21,504915,1094856
22,504919,1094856
23,504919,1094856
24,504923,1094856
25,504923,1094856
26,504927,1094855
27,504927,1094855
28,504932,1094855
29,504932,1094855
30,504936,1094855
31,504936,1094855
32,504940,1094855
33,504940,1094855
34,504944,1094854
35,504944,1094854
36,504948,1094854
37,504948,1094854
38,504952,1094854
39,504952,1094854
40,504957,1094854
41,504957,1094854
42,504961,1094853
43,504961,1094853
44,504965,1094853
45,504965,1094853
46,504969,1094853
47,504969,1094853
48,504973,1094853
49,504973,1094853
50,504978,1094852
51,504978,1094852
52,504982,1094852
53,504982,1094852
54,504990,1094852
55,504990,1094852
56,504994,1094852
57,504994,1094852
58,504998,1094851
59,504998,1094851
60,505003,1094851
61,505003,1094851
62,505007,1094851
63,505007,1094851
64,505011,1094851
65,505011,1094851
66,505015,1094851
67,505015,1094851
68,505019,1094850
69,505019,1094850
70,505023,1094850
71,505023,1094850
72,505028,1094850
73,505028,1094850
74,505032,1094849
75,505032,1094849
76,505036,1094849
77,505036,1094849
78,505040,1094849
79,505040,1094849
80,505044,1094849
81,505044,1094849
82,505049,1094848
83,505049,1094848
84,505053,1094848
85,505053,1094848
86,505057,1094848
87,505057,1094848
88,505059,1094848
89,505059,1094848
90,505061,1094848
91,505061,1094848
92,505065,1094847
93,505065,1094847
94,505069,1094847
95,505069,1094847
96,505073,1094847
97,505073,1094847
98,505078,1094847
99,505078,1094847
100,505082,1094847
101,505082,1094847
102,505086,1094846
103,505086,1094846
104,505090,1094846
105,505090,1094846
106,505094,1094846
107,505094,1094846
108,505099,1094846
109,505099,1094846
110,505103,1094846
111,505103,1094846
112,505107,1094845
113,505107,1094845
114,505111,1094845
115,505111,1094845
116,505115,1094845
117,505115,1094845
118,505120,1094845
119,505120,1094845
120,505124,1094844
121,505124,1094844
122,505128,1094844
123,505128,1094844
124,505132,1094844
125,505132,1094844
126,505136,1094844
127,505136,1094844
128,505140,1094844
129,505140,1094844
130,505145,1094843
131,505145,1094843
132,505149,1094843
133,505149,1094843
134,505153,1094843
135,505153,1094843
136,505157,1094843
137,505157,1094843
138,505161,1094843
139,505161,1094843
140,505165,1094843
141,505165,1094843
142,505170,1094842
143,505170,1094842
144,505174,1094842
145,505174,1094842
146,505178,1094842
147,505178,1094842
148,505182,1094842
149,505182,1094842
150,505186,1094841
151,505186,1094841
152,505190,1094841
153,505190,1094841
154,505195,1094841
155,505195,1094841
156,505199,1094840
157,505199,1094840
158,505203,1094840
159,505203,1094840
160,505207,1094840
161,505207,1094840
162,505211,1094840
163,505211,1094840
164,505215,1094839
165,505215,1094839
166,505220,1094839
167,505220,1094839
168,505224,1094839
169,505224,1094839
170,505228,1094839
171,505228,1094839
172,505232,1094839
173,505232,1094839
174,505236,1094838
175,505236,1094838
176,505241,1094838
177,505241,1094838
178,505245,1094838
179,505245,1094838
180,505249,1094838
181,505249,1094838
182,505253,1094837
183,505253,1094837
184,505257,1094837
185,505257,1094837
186,505262,1094837
187,505262,1094837
188,505266,1094837
189,505266,1094837
190,505270,1094836
191,505270,1094836
192,505274,1094836
193,505274,1094836
194,505278,1094836
195,505278,1094836
196,505282,1094836
197,505282,1094836
198,505287,1094835
199,505287,1094835
200,505291,1094835
201,505291,1094835
202,505295,1094835
203,505295,1094835
204,505299,1094835
205,505299,1094835
206,505303,1094834
207,505303,1094834
208,505308,1094834
209,505308,1094834
210,505312,1094834
211,505312,1094834
212,505316,1094834
213,505316,1094834
214,505320,1094834
215,505320,1094834
216,505324,1094833
217,505324,1094833
218,505328,1094833
219,505328,1094833
220,505333,1094833
221,505333,1094833
222,505337,1094833
223,505337,1094833
224,505341,1094832
225,505341,1094832
226,505345,1094832
227,505345,1094832
228,505349,1094832
229,505349,1094832
230,505354,1094832
231,505354,1094832
232,505358,1094832
233,505358,1094832
234,505362,1094831
235,505362,1094831
236,505366,1094831
237,505366,1094831
238,505370,1094831
239,505370,1094831
240,505374,1094831
241,505374,1094831
242,505379,1094830
243,505379,1094830
244,505383,1094830
245,505383,1094830
246,505387,1094830
247,505387,1094830
248,505391,1094830
249,505391,1094830
250,505395,1094830
251,505395,1094830
252,505400,1094829
253,505400,1094829
254,505404,1094829
255,505404,1094829
256,505408,1094829
257,505408,1094829
258,505412,1094829
259,505412,1094829
260,505416,1094828
261,505416,1094828
262,505420,1094828
263,505420,1094828
264,505425,1094828
265,505425,1094828
266,505429,1094828
267,505429,1094828
268,505433,1094827
269,505433,1094827
270,505437,1094827
271,505437,1094827
272,505441,1094827
273,505441,1094827
274,505446,1094827
275,505446,1094827
276,505450,1094826
277,505450,1094826
278,505454,1094826
279,505454,1094826
280,505458,1094826
281,505458,1094826
282,505462,1094826
283,505462,1094826
284,505467,1094825
285,505467,1094825
286,505471,1094825
287,505471,1094825
288,505475,1094825
289,505475,1094825
290,505479,1094825
291,505479,1094825
292,505483,1094825
293,505483,1094825
294,505487,1094824
295,505487,1094824
296,505492,1094824
297,505492,1094824
298,505496,1094824
299,505496,1094824
300,505500,1094824
301,505500,1094824
302,505504,1094823
303,505504,1094823
304,505508,1094823
305,505508,1094823
306,505513,1094823
307,505513,1094823
308,505517,1094823
309,505517,1094823
310,505521,1094822
311,505521,1094822
312,505525,1094822
313,505525,1094822
314,505529,1094822
315,505529,1094822
316,505533,1094822
317,505533,1094822
318,505538,1094821
319,505538,1094821
320,505542,1094821
321,505542,1094821
322,505546,1094821
323,505546,1094821
324,505550,1094821
325,505550,1094821
326,505554,1094821
327,505554,1094821
328,505559,1094820
329,505559,1094820
330,505563,1094820
331,505563,1094820
332,505567,1094820
333,505567,1094820
334,505571,1094820
335,505571,1094820
336,505575,1094819
337,505575,1094819
338,505580,1094819
339,505580,1094819
340,505584,1094819
341,505584,1094819
342,505588,1094819
343,505588,1094819
344,505592,1094819
345,505592,1094819
346,505596,1094818
347,505596,1094818
348,505601,1094818
349,505601,1094818
350,505605,1094818
351,505605,1094818
352,505609,1094818
353,505609,1094818
354,505613,1094818
355,505613,1094818
356,505617,1094817
357,505617,1094817
358,505622,1094817
359,505622,1094817
360,505626,1094817
361,505626,1094817
362,505630,1094817
363,505630,1094817
364,505634,1094816
365,505634,1094816
366,505638,1094816
367,505638,1094816
368,505642,1094816
369,505642,1094816
370,505647,1094816
371,505647,1094816
372,505651,1094815
373,505651,1094815
374,505655,1094815
375,505655,1094815
376,505659,1094815
377,505659,1094815
378,505663,1094814
379,505663,1094814
380,505668,1094814
381,505668,1094814
