numero,coord_x,coord_y
70502,531512,1040609
70503,531512,1040609
70504,531514,1040605
70505,531514,1040605
70506,531516,1040601
70507,531516,1040601
70508,531518,1040598
70509,531518,1040598
70510,531521,1040594
70511,531521,1040594
70512,531523,1040591
70513,531523,1040591
70514,531525,1040588
70515,531525,1040588
70516,531528,1040584
70517,531528,1040584
70518,531530,1040581
70519,531530,1040581
70520,531533,1040578
70521,531533,1040578
70522,531535,1040574
70523,531535,1040574
70524,531538,1040571
70525,531538,1040571
70526,531541,1040568
70527,531541,1040568
70528,531544,1040565
70529,531544,1040565
70530,531547,1040562
70531,531547,1040562
70532,531550,1040559
70533,531550,1040559
70534,531553,1040557
70535,531553,1040557
70536,531556,1040554
70537,531556,1040554
70538,531559,1040551
70539,531559,1040551
70540,531562,1040548
70541,531562,1040548
70542,531565,1040545
70543,531565,1040545
70544,531568,1040543
70545,531568,1040543
70546,531572,1040540
70547,531572,1040540
70548,531575,1040537
70549,531575,1040537
70550,531578,1040535
70551,531578,1040535
70552,531581,1040532
70553,531581,1040532
70554,531584,1040529
70555,531584,1040529
70556,531588,1040527
70557,531588,1040527
70558,531591,1040524
70559,531591,1040524
70560,531594,1040521
70561,531594,1040521
70562,531597,1040518
70563,531597,1040518
70564,531600,1040516
70565,531600,1040516
70566,531603,1040513
70567,531603,1040513
70568,531607,1040510
70569,531607,1040510
70570,531610,1040507
70571,531610,1040507
70572,531613,1040504
70573,531613,1040504
70574,531616,1040501
70575,531616,1040501
70576,531619,1040498
70577,531619,1040498
70578,531621,1040495
70579,531621,1040495
70580,531624,1040492
70581,531624,1040492
70582,531627,1040489
70583,531627,1040489
70584,531630,1040486
70585,531630,1040486
70586,531632,1040483
70587,531632,1040483
70588,531635,1040479
70589,531635,1040479
70590,531637,1040476
70591,531637,1040476
70592,531640,1040473
70593,531640,1040473
70594,531643,1040469
70595,531643,1040469
70596,531645,1040466
70597,531645,1040466
70598,531648,1040463
70599,531648,1040463
70600,531650,1040459
70601,531650,1040459
70602,531652,1040456
70603,531652,1040456
70604,531655,1040453
70605,531655,1040453
70606,531657,1040449
70607,531657,1040449
70608,531660,1040446
70609,531660,1040446
70610,531662,1040442
70611,531662,1040442
70612,531664,1040439
70613,531664,1040439
70614,531667,1040435
70615,531667,1040435
70616,531669,1040432
70617,531669,1040432
70618,531672,1040429
70619,531672,1040429
70620,531674,1040425
70621,531674,1040425
70622,531677,1040422
70623,531677,1040422
70624,531679,1040419
70625,531679,1040419
70626,531682,1040416
70627,531682,1040416
70628,531684,1040412
70629,531684,1040412
70630,531687,1040409
70631,531687,1040409
70632,531690,1040406
70633,531690,1040406
70634,531692,1040403
70635,531692,1040403
70636,531695,1040399
70637,531695,1040399
70638,531698,1040396
70639,531698,1040396
70640,531701,1040393
70641,531701,1040393
70642,531703,1040390
70643,531703,1040390
70644,531706,1040387
70645,531706,1040387
70646,531709,1040384
70647,531709,1040384
70648,531712,1040382
70649,531712,1040382
70650,531715,1040379
70651,531715,1040379
70652,531718,1040376
70653,531718,1040376
70654,531721,1040373
70655,531721,1040373
70656,531725,1040370
70657,531725,1040370
70658,531728,1040367
70659,531728,1040367
70660,531731,1040364
70661,531731,1040364
70662,531734,1040362
70663,531734,1040362
70664,531737,1040359
70665,531737,1040359
70666,531740,1040356
70667,531740,1040356
70668,531743,1040353
70669,531743,1040353
70670,531746,1040350
70671,531746,1040350
70672,531749,1040347
70673,531749,1040347
70674,531752,1040345
70675,531752,1040345
70676,531755,1040342
70677,531755,1040342
70678,531758,1040339
70679,531758,1040339
70680,531761,1040336
70681,531761,1040336
70682,531764,1040333
70683,531764,1040333
70684,531767,1040330
70685,531767,1040330
70686,531770,1040327
70687,531770,1040327
70688,531773,1040324
70689,531773,1040324
70690,531775,1040320
70691,531775,1040320
70692,531778,1040317
70693,531778,1040317
70694,531780,1040313
70695,531780,1040313
70696,531782,1040310
70697,531782,1040310
70698,531784,1040306
70699,531784,1040306
70700,531786,1040302
70701,531786,1040302
70702,531788,1040298
70703,531788,1040298
70704,531789,1040295
70705,531789,1040295
70706,531790,1040291
70707,531790,1040291
70708,531792,1040287
70709,531792,1040287
70710,531793,1040282
70711,531793,1040282
70712,531793,1040278
70713,531793,1040278
70714,531794,1040274
70715,531794,1040274
70716,531794,1040270
70717,531794,1040270
70718,531795,1040266
70719,531795,1040266
70720,531795,1040262
70721,531795,1040262
70722,531795,1040258
70723,531795,1040258
70724,531795,1040253
70725,531795,1040253
70726,531794,1040249
70727,531794,1040249
70728,531794,1040245
70729,531794,1040245
