numero,Coord_x,Coord_y
1,381573,1150296
2,381571,1150300
3,381568,1150303
4,381566,1150307
5,381564,1150310
6,381561,1150314
7,381559,1150317
8,381556,1150321
9,381554,1150324
10,381551,1150327
11,381548,1150330
12,381546,1150334
13,381543,1150337
14,381540,1150340
15,381537,1150343
16,381534,1150346
17,381531,1150349
18,381528,1150352
19,381525,1150355
20,381522,1150358
21,381519,1150360
22,381516,1150363
23,381513,1150366
24,381510,1150369
25,381507,1150372
26,381503,1150374
27,381500,1150377
28,381497,1150379
29,381494,1150382
30,381490,1150385
31,381487,1150387
32,381484,1150390
33,381480,1150392
34,381477,1150395
35,381474,1150398
36,381471,1150400
37,381467,1150403
38,381464,1150405
39,381461,1150408
40,381457,1150411
41,381454,1150413
42,381451,1150416
43,381448,1150419
44,381444,1150421
45,381441,1150424
46,381438,1150426
47,381435,1150429
48,381431,1150432
49,381428,1150434
50,381425,1150437
51,381421,1150439
52,381418,1150442
53,381415,1150445
54,381411,1150447
55,381408,1150450
56,381405,1150452
57,381401,1150455
58,381398,1150457
59,381395,1150460
60,381391,1150462
61,381388,1150465
62,381385,1150468
63,381381,1150470
64,381378,1150473
65,381375,1150475
66,381371,1150478
67,381368,1150480
68,381365,1150483
69,381361,1150486
70,381358,1150488
71,381355,1150491
72,381351,1150493
73,381348,1150496
74,381345,1150498
75,381342,1150501
76,381338,1150504
77,381335,1150506
78,381332,1150509
79,381328,1150511
80,381325,1150514
81,381322,1150517
82,381318,1150519
83,381315,1150522
84,381312,1150525
85,381309,1150527
86,381305,1150530
87,381302,1150533
88,381299,1150535
89,381295,1150538
90,381292,1150540
91,381289,1150543
92,381286,1150545
93,381282,1150548
94,381279,1150551
95,381276,1150553
96,381272,1150556
97,381269,1150558
98,381266,1150561
99,381262,1150564
100,381259,1150567
101,381256,1150569
102,381253,1150572
103,381249,1150575
104,381246,1150577
105,381243,1150580
106,381240,1150583
107,381236,1150585
108,381233,1150588
109,381230,1150590
110,381227,1150593
111,381223,1150596
112,381220,1150598
113,381217,1150601
114,381213,1150604
115,381210,1150606
116,381207,1150609
117,381203,1150611
118,381200,1150614
119,381197,1150617
120,381194,1150619
121,381190,1150622
122,381187,1150625
123,381184,1150627
124,381180,1150630
125,381177,1150633
126,381174,1150635
127,381170,1150638
128,381167,1150640
129,381164,1150643
130,381160,1150646
131,381157,1150648
132,381154,1150651
133,381151,1150653
134,381147,1150656
135,381144,1150659
136,381141,1150661
137,381138,1150664
138,381134,1150667
139,381131,1150670
140,381128,1150672
141,381125,1150675
142,381122,1150678
143,381119,1150681
144,381116,1150684
145,381113,1150687
146,381110,1150690
147,381107,1150693
148,381105,1150696
149,381102,1150700
150,381099,1150703
151,381097,1150706
152,381094,1150710
153,381092,1150713
154,381089,1150716
155,381087,1150720
156,381085,1150724
157,381083,1150727
158,381081,1150731
159,381079,1150735
160,381077,1150738
161,381076,1150742
162,381074,1150746
163,381072,1150750
164,381071,1150754
165,381069,1150758
166,381067,1150761
167,381066,1150765
168,381065,1150769
169,381064,1150773
170,381062,1150777
171,381061,1150782
172,381060,1150786
173,381059,1150790
174,381058,1150794
175,381057,1150798
176,381057,1150802
177,381056,1150806
178,381055,1150810
179,381055,1150814
180,381054,1150819
181,381054,1150823
182,381054,1150827
183,381053,1150831
184,381053,1150836
185,381053,1150840
186,381053,1150844
187,381053,1150848
188,381053,1150852
189,381054,1150857
190,381054,1150861
191,381054,1150865
192,381055,1150869
193,381056,1150873
194,381057,1150877
195,381057,1150881
196,381058,1150885
197,381059,1150890
198,381061,1150894
199,381062,1150898
200,381063,1150902
201,381064,1150906
202,381066,1150910
203,381067,1150914
204,381069,1150917
205,381070,1150921
206,381071,1150925
207,381073,1150929
208,381075,1150933
209,381076,1150937
210,381078,1150941
211,381080,1150945
212,381081,1150949
213,381083,1150952
214,381084,1150956
215,381086,1150960
216,381088,1150964
217,381089,1150968
218,381091,1150972
219,381092,1150976
220,381094,1150980
221,381096,1150984
222,381097,1150987
223,381099,1150991
224,381101,1150995
225,381102,1150999
226,381104,1151003
227,381106,1151007
228,381107,1151011
229,381109,1151014
230,381110,1151018
231,381112,1151022
232,381114,1151026
233,381115,1151030
234,381117,1151034
235,381118,1151038
236,381120,1151042
237,381121,1151046
238,381123,1151050
239,381124,1151054
240,381126,1151058
241,381127,1151062
242,381128,1151066
243,381130,1151070
244,381131,1151074
245,381133,1151078
246,381134,1151082
247,381135,1151086
248,381137,1151090
249,381138,1151094
250,381139,1151098
251,381141,1151102
252,381142,1151106
253,381143,1151110
254,381144,1151114
255,381146,1151118
256,381147,1151122
257,381148,1151126
258,381149,1151130
259,381150,1151134
260,381151,1151138
261,381152,1151142
262,381153,1151146
263,381154,1151150
264,381156,1151154
265,381156,1151158
266,381157,1151163
267,381158,1151167
268,381159,1151171
269,381160,1151175
270,381161,1151179
271,381162,1151183
272,381163,1151187
273,381164,1151191
274,381164,1151195
275,381165,1151200
276,381166,1151204
277,381167,1151208
278,381167,1151212
279,381168,1151216
280,381169,1151220
281,381170,1151225
282,381170,1151229
283,381171,1151233
284,381172,1151237
285,381173,1151241
286,381173,1151245
287,381174,1151250
288,381175,1151254
289,381175,1151258
290,381176,1151262
291,381177,1151266
292,381177,1151271
293,381178,1151275
294,381178,1151279
295,381179,1151283
296,381179,1151287
297,381180,1151292
298,381180,1151296
299,381180,1151300
300,381181,1151304
301,381181,1151308
302,381182,1151312
303,381182,1151317
304,381182,1151321
305,381183,1151325
306,381183,1151329
307,381183,1151333
308,381183,1151338
309,381184,1151342
310,381184,1151346
311,381184,1151350
312,381184,1151354
313,381184,1151359
314,381184,1151363
315,381184,1151367
316,381184,1151371
317,381184,1151376
318,381184,1151380
319,381185,1151384
320,381185,1151388
321,381185,1151392
322,381185,1151397
323,381185,1151401
324,381185,1151405
325,381184,1151409
326,381184,1151414
327,381184,1151418
328,381184,1151422
329,381184,1151426
330,381184,1151430
331,381184,1151435
332,381183,1151439
333,381183,1151443
334,381183,1151447
335,381183,1151451
336,381182,1151456
337,381182,1151460
338,381182,1151464
339,381181,1151468
340,381181,1151472
341,381180,1151477
342,381180,1151481
343,381180,1151485
344,381179,1151489
345,381178,1151493
346,381178,1151497
347,381177,1151502
348,381176,1151506
349,381175,1151510
350,381175,1151514
351,381174,1151518
352,381173,1151522
353,381172,1151526
354,381171,1151531
355,381170,1151535
356,381168,1151539
357,381167,1151543
358,381166,1151547
359,381164,1151551
360,381163,1151555
361,381161,1151558
362,381160,1151562
363,381158,1151566
364,381156,1151570
365,381154,1151574
366,381152,1151578
367,381150,1151581
368,381148,1151585
369,381146,1151589
370,381144,1151592
371,381142,1151596
372,381140,1151599
373,381137,1151603
374,381135,1151607
375,381133,1151610
376,381130,1151613
377,381128,1151617
378,381125,1151620
379,381122,1151623
380,381120,1151627
381,381117,1151630
382,381114,1151633
383,381112,1151637
384,381109,1151640
385,381107,1151643
386,381104,1151646
387,381101,1151650
388,381098,1151653
389,381096,1151656
390,381093,1151659
391,381090,1151663
392,381087,1151666
393,381085,1151669
394,381082,1151672
395,381079,1151675
396,381076,1151679
397,381074,1151682
398,381071,1151685
399,381068,1151688
400,381066,1151692
401,381063,1151695
402,381060,1151698
403,381058,1151701
404,381055,1151705
405,381052,1151708
406,381050,1151711
407,381047,1151715
408,381045,1151718
409,381042,1151721
410,381040,1151725
411,381037,1151728
412,381035,1151732
413,381032,1151735
414,381030,1151739
415,381028,1151742
416,381026,1151746
417,381023,1151749
418,381021,1151753
419,381019,1151756
420,381017,1151760
421,381015,1151764
422,381013,1151767
423,381011,1151771
424,381009,1151775
425,381007,1151779
426,381005,1151783
427,381004,1151786
428,381002,1151790
429,381000,1151794
430,380999,1151798
431,380997,1151802
432,380996,1151806
433,380995,1151810
434,380993,1151814
435,380992,1151818
436,380991,1151822
437,380990,1151826
438,380989,1151830
439,380988,1151834
440,380987,1151838
441,380986,1151842
442,380985,1151846
443,380984,1151850
444,380983,1151855
445,380982,1151859
446,380982,1151863
447,380981,1151867
448,380980,1151870
449,385352,1141441
450,385352,1141441
451,385351,1141444
452,385349,1141448
453,385348,1141452
454,385346,1141455
455,385345,1141459
