num;coord_x;coord_y
1;335569.035;1220677
2;335567.323;1220676
3;335563.582;1220674
4;335559.840;1220672
5;335555.995;1220671
6;335552.223;1220669
7;335548.503;1220667
8;335544.635;1220665
9;335540.941;1220663
10;335537.133;1220661
11;335533.369;1220659
12;335529.492;1220657
13;335525.813;1220656
14;335522.050;1220654
15;335518.257;1220652
16;335514.577;1220650
17;335510.696;1220648
18;335506.999;1220646
19;335503.105;1220644
20;335499.299;1220643
21;335495.497;1220641
22;335491.603;1220639
23;335487.890;1220637
24;335484.012;1220635
25;335480.208;1220634
26;335476.405;1220632
27;335472.511;1220630
28;335468.807;1220628
29;335464.920;1220627
30;335461.101;1220625
31;335457.345;1220623
32;335453.450;1220621
33;335449.746;1220619
34;335445.909;1220618
35;335442.030;1220616
36;335438.240;1220614
37;335434.505;1220612
38;335430.660;1220610
39;335426.830;1220609
40;335423.018;1220607
41;335419.221;1220605
42;335415.441;1220603
43;335411.660;1220601
44;335407.896;1220599
45;335404.116;1220597
46;335400.352;1220595
47;335396.571;1220594
48;335392.791;1220592
49;335389.027;1220590
50;335385.247;1220588
51;335381.484;1220586
52;335377.703;1220584
53;335373.956;1220582
54;335370.192;1220581
55;335366.429;1220579
56;335362.697;1220577
57;335358.850;1220575
58;335355.037;1220573
59;335351.289;1220571
60;335347.384;1220570
61;335343.645;1220568
62;335339.873;1220566
63;335336.002;1220564
64;335332.271;1220562
65;335328.425;1220561
66;335324.611;1220559
67;335320.863;1220557
68;335317.107;1220555
69;335313.187;1220553
70;335309.440;1220552
71;335305.693;1220550
72;335301.833;1220548
73;335298.032;1220546
74;335294.285;1220544
75;335290.550;1220543
76;335286.624;1220541
77;335282.893;1220539
78;335279.083;1220537
79;335275.233;1220535
80;335271.502;1220533
81;335267.771;1220532
82;335263.861;1220530
83;335260.127;1220528
84;335256.351;1220526
85;335252.500;1220524
86;335248.675;1220523
87;335244.873;1220521
88;335241.017;1220519
89;335237.262;1220517
90;335233.524;1220515
91;335229.635;1220514
92;335225.848;1220512
93;335221.991;1220510
94;335218.156;1220508
95;335214.219;1220507
96;335210.452;1220505
97;335206.561;1220503
98;335202.642;1220502
99;335198.739;1220500
100;335194.854;1220498
101;335191.037;1220496
102;335187.248;1220495
103;335183.364;1220493
104;335179.478;1220491
105;335175.576;1220490
106;335171.856;1220488
107;335167.952;1220486
108;335164.093;1220484
109;335160.379;1220483
110;335156.539;1220481
111;335152.735;1220479
112;335149.003;1220477
113;335145.074;1220475
114;335141.326;1220473
115;335137.578;1220471
116;335133.831;1220470
117;335130.050;1220468
118;335126.286;1220466
119;335122.506;1220464
120;335118.907;1220462
121;335115.126;1220460
122;335111.329;1220458
123;335107.516;1220456
124;335103.703;1220454
125;335100.038;1220452
126;335096.243;1220451
127;335092.257;1220449
128;335088.569;1220447
129;335084.740;1220445
130;335080.894;1220444
131;335077.032;1220442
132;335073.170;1220440
133;335069.491;1220438
134;335065.628;1220436
135;335061.845;1220435
136;335058.037;1220433
137;335054.305;1220431
138;335050.444;1220429
139;335046.701;1220427
140;335042.790;1220426
141;335038.863;1220424
142;335035.090;1220422
143;335031.197;1220420
144;335027.457;1220418
145;335023.633;1220417
146;335019.778;1220415
147;335016.022;1220413
148;335012.234;1220411
149;335008.297;1220410
150;335004.525;1220408
151;335000.588;1220406
152;334996.564;1220405
153;334992.524;1220404
154;334988.502;1220403
155;334984.479;1220401
156;334980.281;1220400
157;334976.056;1220400
158;334971.992;1220399
159;334967.766;1220398
160;334963.680;1220398
161;334959.516;1220397
162;334955.325;1220397
163;334951.118;1220397
164;334946.834;1220396
165;334942.607;1220396
166;334938.469;1220395
167;334934.313;1220395
168;334930.029;1220395
169;334925.925;1220394
170;334921.702;1220394
171;334917.571;1220394
172;334913.320;1220393
173;334909.218;1220393
174;334904.953;1220393
175;334900.707;1220392
176;334896.461;1220392
177;334892.252;1220392
178;334888.060;1220391
179;334883.869;1220391
180;334879.696;1220391
181;334875.541;1220391
182;334871.386;1220390
183;334867.104;1220390
184;334862.948;1220390
185;334858.838;1220389
186;334854.583;1220389
187;334850.466;1220389
188;334846.254;1220388
189;334842.094;1220388
190;334837.960;1220387
191;334833.760;1220387
192;334829.492;1220386
193;334825.421;1220386
194;334821.178;1220386
195;334816.964;1220385
196;334812.863;1220385
197;334808.634;1220385
198;334804.385;1220384
199;334800.251;1220384
200;334796.091;1220383
201;334791.823;1220383
202;334787.749;1220383
203;334783.528;1220382
204;334779.261;1220382
205;334775.047;1220382
206;334770.928;1220381
207;334766.641;1220381
208;334762.472;1220381
209;334758.270;1220380
210;334754.143;1220380
211;334749.861;1220380
212;334745.737;1220379
213;334741.459;1220379
214;334737.323;1220379
215;334733.186;1220379
216;334728.909;1220378
217;334724.693;1220378
218;334720.501;1220377
219;334716.291;1220377
220;334712.147;1220377
221;334708.071;1220376
222;334703.843;1220376
223;334699.597;1220376
224;334695.350;1220375
225;334691.268;1220375
226;334687.030;1220374
227;334682.884;1220374
228;334678.582;1220374
229;334674.424;1220373
230;334670.321;1220373
231;334666.018;1220373
232;334661.880;1220372
233;334657.741;1220372
234;334653.448;1220371
235;334649.230;1220371
236;334645.074;1220370
237;334640.884;1220370
238;334636.676;1220369
239;334632.469;1220369
240;334628.247;1220369
241;334624.203;1220369
242;334619.944;1220368
243;334615.702;1220368
244;334611.443;1220368
245;334607.366;1220367
246;334603.159;1220367
247;334598.995;1220366
248;334594.873;1220366
249;334590.622;1220365
250;334586.492;1220365
251;334582.302;1220364
252;334578.067;1220364
253;334573.949;1220363
254;334569.863;1220362
255;334565.658;1220362
256;334561.492;1220361
257;334557.390;1220360
258;334553.286;1220359
259;334549.200;1220358
260;334545.097;1220358
261;334541.010;1220357
262;334536.906;1220356
263;334532.738;1220355
264;334528.582;1220354
265;334524.511;1220353
266;334520.457;1220352
267;334516.315;1220351
268;334512.183;1220350
269;334507.990;1220349
270;334503.925;1220348
271;334499.831;1220348
272;334495.701;1220347
273;334491.663;1220346
274;334487.492;1220345
275;334483.417;1220344
276;334479.283;1220343
277;334475.278;1220342
278;334471.099;1220341
279;334467.071;1220340
280;334462.860;1220339
281;334458.760;1220338
282;334454.623;1220338
283;334450.595;1220337
284;334446.402;1220336
285;334442.210;1220335
286;334438.138;1220334
287;334434.007;1220333
288;334429.829;1220332
289;334425.804;1220331
290;334421.611;1220331
291;334417.548;1220330
292;334413.409;1220329
293;334409.397;1220328
294;334405.205;1220327
295;334401.112;1220326
296;334396.985;1220325
297;334392.775;1220324
298;334388.747;1220323
299;334384.612;1220323
300;334380.509;1220322
301;334376.282;1220321
302;334372.272;1220320
303;334368.095;1220319
304;334363.999;1220318
305;334359.919;1220317
306;334355.728;1220317
307;334351.529;1220316
308;334347.456;1220315
309;334343.337;1220314
310;334339.185;1220313
311;334334.964;1220312
312;334330.930;1220311
313;334326.789;1220311
314;334322.658;1220310
315;334318.597;1220309
316;334314.404;1220308
317;334310.240;1220307
318;334306.150;1220307
319;334302.064;1220306
320;334297.894;1220305
321;334293.866;1220304
322;334289.673;1220303
323;334285.578;1220302
324;334281.470;1220301
325;334277.303;1220300
326;334273.283;1220299
327;334269.108;1220298
328;334264.950;1220297
329;334260.949;1220296
330;334256.799;1220296
331;334252.624;1220295
332;334248.449;1220294
333;334244.308;1220293
334;334240.133;1220292
335;334236.174;1220291
336;334232.015;1220290
337;334227.858;1220289
338;334223.700;1220288
339;334219.559;1220288
340;334215.601;1220287
341;334211.477;1220286
342;334207.353;1220285
343;334203.230;1220284
344;334199.106;1220283
345;334194.982;1220282
346;334190.894;1220281
347;334186.770;1220280
348;334182.663;1220279
349;334178.557;1220278
350;334174.451;1220277
351;334170.362;1220277
352;334166.274;1220276
353;334162.167;1220275
354;334157.976;1220274
355;334153.842;1220273
356;334149.770;1220272
357;334145.698;1220271
358;334141.580;1220270
359;334137.407;1220269
360;334133.354;1220268
361;334129.160;1220267
362;334125.075;1220267
363;334120.861;1220266
364;334116.778;1220265
365;334112.530;1220264
366;334108.318;1220264
367;334104.256;1220263
368;334100.114;1220262
369;334095.939;1220262
370;334091.718;1220261
371;334087.409;1220261
372;334083.236;1220260
373;334079.063;1220260
374;334074.736;1220260
