numero,coord_x,coord_y
53538,530021,1057073
53539,530021,1057073
53540,530024,1057071
53541,530024,1057071
53542,530028,1057068
53543,530028,1057068
53544,530031,1057066
53545,530031,1057066
53546,530034,1057063
53547,530034,1057063
53548,530038,1057061
53549,530038,1057061
53550,530041,1057058
53551,530041,1057058
53552,530044,1057056
53553,530044,1057056
53554,530048,1057053
53555,530048,1057053
53556,530051,1057050
53557,530051,1057050
53558,530054,1057047
53559,530054,1057047
53560,530057,1057044
53561,530057,1057044
53562,530060,1057041
53563,530060,1057041
53564,530063,1057038
53565,530063,1057038
53566,530065,1057035
53567,530065,1057035
53568,530068,1057032
53569,530068,1057032
53570,530071,1057029
53571,530071,1057029
53572,530074,1057025
53573,530074,1057025
53574,530076,1057022
53575,530076,1057022
53576,530079,1057019
53577,530079,1057019
53578,530082,1057015
53579,530082,1057015
53580,530084,1057012
53581,530084,1057012
53582,530087,1057009
53583,530087,1057009
53584,530089,1057005
53585,530089,1057005
53586,530092,1057002
53587,530092,1057002
53588,530094,1056999
53589,530094,1056999
53590,530097,1056995
53591,530097,1056995
53592,530099,1056992
53593,530099,1056992
53594,530102,1056989
53595,530102,1056989
53596,530105,1056985
53597,530105,1056985
53598,530107,1056982
53599,530107,1056982
53600,530110,1056979
53601,530110,1056979
53602,530112,1056975
53603,530112,1056975
53604,530115,1056972
53605,530115,1056972
53606,530117,1056968
53607,530117,1056968
53608,530120,1056965
53609,530120,1056965
53610,530122,1056962
53611,530122,1056962
53612,530125,1056958
53613,530125,1056958
53614,530127,1056955
53615,530127,1056955
53616,530130,1056952
53617,530130,1056952
53618,530132,1056948
53619,530132,1056948
53620,530135,1056945
53621,530135,1056945
53622,530137,1056941
53623,530137,1056941
53624,530140,1056938
53625,530140,1056938
53626,530143,1056935
53627,530143,1056935
53628,530145,1056931
53629,530145,1056931
53630,530148,1056928
53631,530148,1056928
53632,530150,1056925
53633,530150,1056925
53634,530153,1056921
53635,530153,1056921
53636,530155,1056918
53637,530155,1056918
53638,530158,1056915
53639,530158,1056915
53640,530160,1056911
53641,530160,1056911
53642,530163,1056908
53643,530163,1056908
53644,530166,1056905
53645,530166,1056905
53646,530168,1056901
53647,530168,1056901
53648,530171,1056898
53649,530171,1056898
53650,530174,1056895
53651,530174,1056895
53652,530177,1056892
53653,530177,1056892
53654,530180,1056889
53655,530180,1056889
53656,530183,1056886
53657,530183,1056886
53658,530186,1056883
53659,530186,1056883
53660,530189,1056881
53661,530189,1056881
53662,530192,1056878
53663,530192,1056878
53664,530195,1056875
53665,530195,1056875
53666,530199,1056873
53667,530199,1056873
53668,530202,1056871
53669,530202,1056871
53670,530206,1056868
53671,530206,1056868
53672,530210,1056867
53673,530210,1056867
53674,530213,1056865
53675,530213,1056865
53676,530217,1056863
53677,530217,1056863
53678,530221,1056861
53679,530221,1056861
53680,530225,1056860
53681,530225,1056860
53682,530229,1056858
53683,530229,1056858
53684,530233,1056857
53685,530233,1056857
53686,530237,1056856
53687,530237,1056856
53688,530241,1056855
53689,530241,1056855
53690,530245,1056855
53691,530245,1056855
53692,530249,1056854
53693,530249,1056854
53694,530253,1056853
53695,530253,1056853
53696,530257,1056853
53697,530257,1056853
53698,530262,1056853
53699,530262,1056853
53700,530266,1056853
53701,530266,1056853
53702,530270,1056853
53703,530270,1056853
53704,530274,1056853
53705,530274,1056853
53706,530278,1056853
53707,530278,1056853
53708,530282,1056853
53709,530282,1056853
53710,530287,1056854
53711,530287,1056854
53712,530291,1056854
53713,530291,1056854
53714,530295,1056855
53715,530295,1056855
53716,530299,1056855
53717,530299,1056855
53718,530303,1056856
53719,530303,1056856
53720,530307,1056856
53721,530307,1056856
53722,530311,1056857
53723,530311,1056857
53724,530316,1056857
53725,530316,1056857
53726,530320,1056858
53727,530320,1056858
53728,530324,1056859
53729,530324,1056859
53730,530328,1056859
53731,530328,1056859
53732,530332,1056860
53733,530332,1056860
53734,530336,1056860
53735,530336,1056860
53736,530341,1056861
53737,530341,1056861
53738,530345,1056861
53739,530345,1056861
53740,530349,1056861
53741,530349,1056861
53742,530353,1056862
53743,530353,1056862
53744,530357,1056862
53745,530357,1056862
53746,530362,1056862
53747,530362,1056862
53748,530366,1056862
53749,530366,1056862
53750,530370,1056862
53751,530370,1056862
53752,530374,1056862
53753,530374,1056862
53754,530378,1056862
53755,530378,1056862
53756,530383,1056862
53757,530383,1056862
53758,530387,1056862
53759,530387,1056862
53760,530391,1056861
53761,530391,1056861
53762,530395,1056860
53763,530395,1056860
53764,530399,1056860
53765,530399,1056860
53766,530403,1056859
53767,530403,1056859
53768,530408,1056857
53769,530408,1056857
53770,530411,1056856
53771,530411,1056856
53772,530415,1056855
53773,530415,1056855
53774,530419,1056853
53775,530419,1056853
53776,530423,1056851
53777,530423,1056851
53778,530427,1056849
53779,530427,1056849
53780,530431,1056848
53781,530431,1056848
53782,530434,1056845
53783,530434,1056845
53784,530438,1056843
53785,530438,1056843
53786,530441,1056841
53787,530441,1056841
53788,530445,1056838
53789,530445,1056838
53790,530448,1056836
53791,530448,1056836
53792,530451,1056833
53793,530451,1056833
53794,530455,1056830
53795,530455,1056830
53796,530458,1056827
53797,530458,1056827
53798,530460,1056824
53799,530460,1056824
53800,530463,1056821
53801,530463,1056821
53802,530466,1056817
53803,530466,1056817
53804,530468,1056814
53805,530468,1056814
53806,530471,1056811
53807,530471,1056811
53808,530473,1056807
53809,530473,1056807
53810,530475,1056803
53811,530475,1056803
53812,530477,1056800
53813,530477,1056800
53814,530479,1056796
53815,530479,1056796
53816,530481,1056792
53817,530481,1056792
53818,530482,1056788
53819,530482,1056788
53820,530484,1056784
53821,530484,1056784
53822,530485,1056780
53823,530485,1056780
53824,530486,1056776
53825,530486,1056776
53826,530487,1056772
53827,530487,1056772
53828,530488,1056768
53829,530488,1056768
53830,530489,1056764
53831,530489,1056764
53832,530490,1056760
53833,530490,1056760
53834,530490,1056756
53835,530490,1056756
53836,530491,1056752
53837,530491,1056752
53838,530492,1056747
53839,530492,1056747
53840,530492,1056743
53841,530492,1056743
53842,530493,1056739
53843,530493,1056739
53844,530493,1056735
53845,530493,1056735
53846,530494,1056731
53847,530494,1056731
53848,530494,1056727
53849,530494,1056727
53850,530494,1056722
53851,530494,1056722
53852,530495,1056718
53853,530495,1056718
53854,530495,1056714
53855,530495,1056714
53856,530496,1056710
53857,530496,1056710
53858,530496,1056706
53859,530496,1056706
53860,530496,1056702
53861,530496,1056702
53862,530497,1056697
53863,530497,1056697
53864,530497,1056693
53865,530497,1056693
53866,530498,1056689
53867,530498,1056689
53868,530498,1056685
53869,530498,1056685
53870,530498,1056681
53871,530498,1056681
53872,530499,1056677
53873,530499,1056677
53874,530499,1056672
53875,530499,1056672
53876,530499,1056668
53877,530499,1056668
53878,530500,1056664
53879,530500,1056664
53880,530500,1056660
53881,530500,1056660
53882,530501,1056656
53883,530501,1056656
53884,530501,1056652
53885,530501,1056652
53886,530501,1056647
53887,530501,1056647
53888,530502,1056643
53889,530502,1056643
53890,530502,1056639
53891,530502,1056639
53892,530503,1056635
53893,530503,1056635
53894,530503,1056631
53895,530503,1056631
53896,530504,1056627
53897,530504,1056627
53898,530505,1056623
53899,530505,1056623
53900,530505,1056619
53901,530505,1056619
53902,530506,1056615
53903,530506,1056615
53904,530507,1056610
53905,530507,1056610
