num;coord_y;coord_x
1;1220677;335569
2;1220676;335567
3;1220674;335564
4;1220672;335560
5;1220671;335556
6;1220669;335552
7;1220667;335549
8;1220665;335545
9;1220663;335541
10;1220661;335537
11;1220659;335533
12;1220657;335529
13;1220656;335526
14;1220654;335522
15;1220652;335518
16;1220650;335515
17;1220648;335511
18;1220646;335507
19;1220644;335503
20;1220643;335499
21;1220641;335495
22;1220639;335492
23;1220637;335488
24;1220635;335484
25;1220634;335480
26;1220632;335476
27;1220630;335473
28;1220628;335469
29;1220627;335465
30;1220625;335461
31;1220623;335457
32;1220621;335453
33;1220619;335450
34;1220618;335446
35;1220616;335442
36;1220614;335438
37;1220612;335435
38;1220610;335431
39;1220609;335427
40;1220607;335423
41;1220605;335419
42;1220603;335415
43;1220601;335412
44;1220599;335408
45;1220597;335404
46;1220595;335400
47;1220594;335397
48;1220592;335393
49;1220590;335389
50;1220588;335385
51;1220586;335381
52;1220584;335378
53;1220582;335374
54;1220581;335370
55;1220579;335366
56;1220577;335363
57;1220575;335359
58;1220573;335355
59;1220571;335351
60;1220570;335347
61;1220568;335344
62;1220566;335340
63;1220564;335336
64;1220562;335332
65;1220561;335328
66;1220559;335325
67;1220557;335321
68;1220555;335317
69;1220553;335313
70;1220552;335309
71;1220550;335306
72;1220548;335302
73;1220546;335298
74;1220544;335294
75;1220543;335291
76;1220541;335287
77;1220539;335283
78;1220537;335279
79;1220535;335275
80;1220533;335272
81;1220532;335268
82;1220530;335264
83;1220528;335260
84;1220526;335256
85;1220524;335252
86;1220523;335249
87;1220521;335245
88;1220519;335241
89;1220517;335237
90;1220515;335234
91;1220514;335230
92;1220512;335226
93;1220510;335222
94;1220508;335218
95;1220507;335214
96;1220505;335210
97;1220503;335207
98;1220502;335203
99;1220500;335199
100;1220498;335195
101;1220496;335191
102;1220495;335187
103;1220493;335183
104;1220491;335179
105;1220490;335176
106;1220488;335172
107;1220486;335168
108;1220484;335164
109;1220483;335160
110;1220481;335157
111;1220479;335153
112;1220477;335149
113;1220475;335145
114;1220473;335141
115;1220471;335138
116;1220470;335134
