numero,coord_x,coord_y
20307,500864,1081565
20308,500864,1081563
20309,500864,1081563
20310,500864,1081559
20311,500864,1081559
20312,500863,1081554
20313,500863,1081554
20314,500863,1081550
20315,500863,1081550
20316,500862,1081546
20317,500862,1081546
20318,500862,1081542
20319,500862,1081542
20320,500861,1081538
20321,500861,1081538
20322,500861,1081533
20323,500861,1081533
20324,500860,1081529
20325,500860,1081529
20326,500860,1081525
20327,500860,1081525
20328,500859,1081521
20329,500854,1081443
20330,500854,1081441
20331,500854,1081441
20332,500853,1081437
20333,500853,1081437
20334,500853,1081432
20335,500853,1081432
20336,500853,1081428
20337,500853,1081428
20338,500853,1081424
20339,500853,1081424
20340,500853,1081420
20341,500853,1081420
20342,500853,1081416
20343,500853,1081416
20344,500853,1081411
20345,500853,1081411
20346,500853,1081407
20347,500853,1081407
20348,500853,1081403
20349,500853,1081403
20350,500854,1081399
20351,500854,1081399
20352,500854,1081394
20353,500854,1081394
20354,500854,1081390
20355,500854,1081390
20356,500855,1081386
20357,500855,1081386
20358,500856,1081382
20359,500856,1081382
20360,500856,1081378
20361,500856,1081378
20362,500857,1081373
20363,500857,1081373
20364,500858,1081369
20365,500858,1081369
20366,500859,1081365
20367,500859,1081365
20368,500860,1081361
20369,500860,1081361
20370,500861,1081357
20371,500861,1081357
20372,500862,1081353
20373,500862,1081353
20374,500864,1081349
20375,500864,1081349
20376,500866,1081345
20377,500866,1081345
20378,500867,1081341
20379,500867,1081341
20380,500869,1081337
20381,500869,1081337
20382,500872,1081334
20383,500872,1081334
20384,500874,1081330
20385,500874,1081330
20386,500876,1081327
20387,500876,1081327
20388,500879,1081323
20389,500879,1081323
20390,500881,1081320
20391,500881,1081320
20392,500882,1081320
21262,505292,1087135
21263,505292,1087135
21264,505293,1087130
21265,505293,1087130
21266,505294,1087126
21267,505294,1087126
21268,505294,1087122
21269,505294,1087122
21270,505295,1087118
21271,505295,1087118
21272,505296,1087114
21273,505296,1087114
21274,505297,1087110
21275,505297,1087110
21276,505298,1087106
21277,505298,1087106
21278,505299,1087102
21279,505299,1087102
21280,505300,1087098
21281,505300,1087098
21282,505301,1087094
21283,505301,1087094
21284,505302,1087089
21285,505302,1087089
21286,505303,1087085
21287,505303,1087085
