numero,coord_x,coord_y
1,504881,1094861
2,504882,1094861
3,504882,1094861
4,504886,1094860
5,504886,1094860
6,504890,1094860
7,504890,1094860
8,504894,1094859
9,504894,1094859
10,504898,1094859
11,504898,1094859
12,504902,1094858
13,504902,1094858
14,504904,1094858
15,504904,1094858
16,504907,1094857
17,504907,1094857
18,504911,1094857
19,504911,1094857
20,504915,1094856
21,504915,1094856
22,504919,1094856
23,504919,1094856
24,504923,1094856
25,504923,1094856
26,504927,1094855
27,504927,1094855
28,504932,1094855
29,504932,1094855
30,504936,1094855
31,504936,1094855
32,504940,1094855
33,504940,1094855
34,504944,1094854
35,504944,1094854
36,504948,1094854
37,504948,1094854
38,504952,1094854
39,504952,1094854
40,504957,1094854
41,504957,1094854
42,504961,1094853
43,504961,1094853
44,504965,1094853
45,504965,1094853
46,504969,1094853
47,504969,1094853
48,504973,1094853
49,504973,1094853
50,504978,1094852
51,504978,1094852
52,504982,1094852
53,504982,1094852
54,504990,1094852
55,504990,1094852
56,504994,1094852
57,504994,1094852
58,504998,1094851
59,504998,1094851
60,505003,1094851
61,505003,1094851
62,505007,1094851
63,505007,1094851
64,505011,1094851
65,505011,1094851
66,505015,1094851
67,505015,1094851
9923,489236,1098647
9924,489257,1098645
9925,489257,1098645
9926,489265,1098644
9927,489265,1098644
9928,489269,1098643
9929,489269,1098643
9930,489273,1098643
9931,489273,1098643
9932,489278,1098642
9933,489278,1098642
9934,489282,1098642
9935,489282,1098642
9936,489286,1098641
9937,489286,1098641
9938,489290,1098641
9939,489290,1098641
9940,489294,1098641
9941,489294,1098641
9942,489299,1098640
9943,489299,1098640
9944,489303,1098640
9945,489303,1098640
9946,489307,1098639
9947,489307,1098639
9948,489311,1098639
9949,489311,1098639
9950,489315,1098639
9951,489315,1098639
9952,489319,1098638
9953,489319,1098638
9954,489323,1098638
9955,489323,1098638
9956,489328,1098637
9957,489328,1098637
9958,489332,1098637
9959,489332,1098637
9960,489336,1098637
9961,489336,1098637
9962,489340,1098636
9963,489340,1098636
9964,489344,1098636
9965,489344,1098636
9966,489348,1098635
9967,489348,1098635
9968,489353,1098635
9969,489353,1098635
9970,489357,1098634
9971,489357,1098634
9972,489361,1098634
9973,489361,1098634
9974,489365,1098634
9975,489365,1098634
9976,489369,1098633
9977,489369,1098633
9978,489374,1098633
9979,489374,1098633
9980,489378,1098633
9981,489378,1098633
9982,489382,1098632
9983,489382,1098632
9984,489386,1098632
9985,489386,1098632
9986,489390,1098632
9987,489390,1098632
9988,489394,1098631
9989,489394,1098631
9990,489399,1098631
9991,489399,1098631
9992,489403,1098631
9993,489403,1098631
9994,489407,1098630
9995,489407,1098630
9996,489411,1098630
9997,489411,1098630
9998,489415,1098629
9999,489415,1098629
10000,489419,1098629
10001,489419,1098629
10002,489423,1098629
10003,489423,1098629
10004,489428,1098628
10005,489428,1098628
10006,489432,1098628
10007,489432,1098628
10008,489436,1098627
10009,489436,1098627
10010,489440,1098627
10011,489440,1098627
10012,489444,1098626
10013,489444,1098626
10014,489448,1098626
10015,489448,1098626
10016,489453,1098626
10017,489453,1098626
10018,489457,1098625
10019,489457,1098625
10020,489461,1098625
10021,489461,1098625
10022,489465,1098624
10023,489465,1098624
10024,489469,1098624
10025,489469,1098624
10026,489473,1098624
10027,489473,1098624
10028,489478,1098623
10029,489478,1098623
10030,489482,1098623
10031,489482,1098623
10032,489486,1098622
10033,489486,1098622
10034,489490,1098622
10035,489490,1098622
10036,489494,1098622
10037,489494,1098622
10038,489498,1098621
10039,489498,1098621
10040,489503,1098621
10041,489503,1098621
10042,489507,1098621
10043,489507,1098621
10044,489511,1098620
10045,489511,1098620
10046,489515,1098620
10047,489515,1098620
10048,489519,1098619
10049,489519,1098619
10050,489523,1098619
10051,489523,1098619
10052,489528,1098619
10053,489528,1098619
10054,489532,1098618
10055,489532,1098618
10056,489536,1098618
10057,489536,1098618
10058,489540,1098617
10059,489540,1098617
10060,489544,1098617
10061,489544,1098617
10062,489549,1098617
10063,489549,1098617
10064,489553,1098616
10065,489553,1098616
10066,489557,1098616
10067,489557,1098616
10068,489561,1098615
10069,489561,1098615
10070,489565,1098615
10071,489565,1098615
10072,489569,1098615
10073,489569,1098615
10074,489573,1098614
10075,489573,1098614
10076,489578,1098614
10077,489578,1098614
10078,489582,1098614
10079,489582,1098614
10080,489586,1098613
10081,489586,1098613
10082,489590,1098613
10083,489590,1098613
10084,489594,1098612
10085,489594,1098612
10086,489599,1098612
10087,489599,1098612
10088,489603,1098612
10089,489603,1098612
10090,489607,1098611
10091,489607,1098611
10092,489611,1098611
10093,489611,1098611
10094,489615,1098610
10095,489615,1098610
10096,489619,1098610
10097,489619,1098610
10098,489624,1098610
10099,489624,1098610
10100,489628,1098609
10101,489628,1098609
10102,489632,1098609
10103,489632,1098609
10104,489636,1098609
10105,489636,1098609
10106,489640,1098608
10107,489640,1098608
10108,489645,1098608
10109,489645,1098608
10110,489649,1098607
10111,489649,1098607
10112,489653,1098607
10113,489653,1098607
10114,489657,1098607
10115,489657,1098607
10116,489661,1098606
10117,489661,1098606
10118,489665,1098606
10119,489665,1098606
10120,489670,1098605
10121,489670,1098605
10122,489674,1098605
10123,489674,1098605
10124,489678,1098604
10125,489678,1098604
10126,489682,1098604
10127,489682,1098604
10128,489686,1098604
10129,489686,1098604
10130,489691,1098603
10131,489691,1098603
10132,489695,1098603
10133,489695,1098603
10134,489699,1098603
10135,489699,1098603
10136,489703,1098602
10137,489703,1098602
10138,489707,1098602
10139,489707,1098602
10140,489711,1098601
10141,489711,1098601
10142,489716,1098601
10143,489716,1098601
10144,489720,1098601
10145,489720,1098601
10146,489724,1098600
10147,489724,1098600
10148,489728,1098600
10149,489728,1098600
10150,489732,1098599
10151,489732,1098599
10152,489736,1098599
10153,489736,1098599
10154,489741,1098598
10155,489741,1098598
10156,489745,1098598
10157,489745,1098598
10158,489749,1098598
10159,489749,1098598
10160,489753,1098597
10161,489753,1098597
10162,489757,1098597
10163,489757,1098597
10164,489761,1098596
10165,489761,1098596
10166,489766,1098596
10167,489766,1098596
10168,489770,1098596
10169,489770,1098596
10170,489774,1098595
10171,489774,1098595
10172,489778,1098595
10173,489778,1098595
10174,489782,1098594
10175,489782,1098594
10176,489787,1098594
10177,489787,1098594
10178,489791,1098594
10179,489791,1098594
10180,489795,1098593
10181,489795,1098593
10182,489799,1098593
10183,489799,1098593
10184,489803,1098592
10185,489803,1098592
10186,489807,1098592
10187,489807,1098592
10188,489812,1098591
10189,489812,1098591
10190,489816,1098591
10191,489816,1098591
10192,489820,1098591
10193,489820,1098591
10194,489824,1098590
10195,489824,1098590
10196,489828,1098590
10197,489828,1098590
10198,489832,1098590
10199,489832,1098590
10200,489837,1098589
10201,489837,1098589
10202,489841,1098589
10203,489841,1098589
10204,489845,1098589
10205,489845,1098589
10206,489849,1098588
10207,489849,1098588
10208,489853,1098588
10209,489853,1098588
10210,489857,1098587
10211,489857,1098587
10212,489862,1098587
10213,489862,1098587
10214,489866,1098586
10215,489866,1098586
10216,489870,1098586
10217,489870,1098586
10218,489874,1098586
10219,489874,1098586
10220,489878,1098585
10221,489878,1098585
10222,489883,1098585
10223,489883,1098585
10224,489887,1098584
10225,489887,1098584
10226,489891,1098584
10227,489891,1098584
10228,489895,1098584
10229,489895,1098584
10230,489899,1098583
10231,489899,1098583
10232,489904,1098583
10233,489904,1098583
10234,489908,1098582
10235,489908,1098582
10236,489912,1098582
10237,489912,1098582
10238,489916,1098582
10239,489916,1098582
10240,489920,1098581
10241,489920,1098581
10242,489925,1098581
10243,489925,1098581
10244,489929,1098581
10245,489929,1098581
10246,489933,1098580
10247,489933,1098580
10248,489937,1098580
10249,489937,1098580
10250,489941,1098579
10251,489941,1098579
10252,489945,1098579
10253,489945,1098579
10254,489950,1098578
10255,489950,1098578
10256,489954,1098578
10257,489954,1098578
10258,489958,1098578
10259,489958,1098578
10260,489962,1098577
10261,489962,1098577
10262,489966,1098577
10263,489966,1098577
10264,489971,1098576
10265,489971,1098576
10266,489975,1098576
10267,489975,1098576
10268,489979,1098576
10269,489979,1098576
10270,489983,1098575
10271,489983,1098575
10272,489987,1098575
10273,489987,1098575
10274,489992,1098574
10275,489992,1098574
10276,489996,1098574
10277,489996,1098574
10278,490000,1098574
10279,490000,1098574
10280,490004,1098573
10281,490004,1098573
10282,490008,1098573
10283,490008,1098573
10284,490012,1098572
10285,490012,1098572
10286,490017,1098572
10287,490017,1098572
10288,490021,1098572
10289,490021,1098572
10290,490025,1098571
10291,490025,1098571
10292,490029,1098571
10293,490029,1098571
