num;coord_x;coord_y
1;-85.626426500;11.046489030
2;-85.626211600;11.046422060
3;-85.625543800;11.046221270
4;-85.624522600;11.045848270
5;-85.623387300;11.045627270
6;-85.622513100;11.045503280
7;-85.621716800;11.045628660
8;-85.621150700;11.045798230
9;-85.620568800;11.045877040
10;-85.620269500;11.045802950
11;-85.619571100;11.045602300
12;-85.619125600;11.045415450
13;-85.618802600;11.045205220
14;-85.618486400;11.044820860
15;-85.618408400;11.044586620
16;-85.618237500;11.044156060
17;-85.617959200;11.043703370
18;-85.617712900;11.043507870
19;-85.617351800;11.043335700
20;-85.616868600;11.043255020
21;-85.616409200;11.043325600
22;-85.615973600;11.043532310
23;-85.615484600;11.043792280
24;-85.614980100;11.044022070
25;-85.614612900;11.044130000
26;-85.614046200;11.044201150
27;-85.613701600;11.044248410
28;-85.610293400;11.044554210
29;-85.607306800;11.044903150
30;-85.606602300;11.044997730
31;-85.604864800;11.045362730
32;-85.602071900;11.046096650
33;-85.600839800;11.046390820
34;-85.598192200;11.047086090
35;-85.596814800;11.047441570
36;-85.595873600;11.047688770
37;-85.595100600;11.047866950
38;-85.593868000;11.048085400
39;-85.592236900;11.048290800
40;-85.591196000;11.048515800
41;-85.590577200;11.048874840
42;-85.589722000;11.049439500
43;-85.589171800;11.049722470
44;-85.588176100;11.049826100
45;-85.586989700;11.050074560
46;-85.585566500;11.050468090
47;-85.584159500;11.051028050
48;-85.583218900;11.051388760
49;-85.582790300;11.051489410
50;-85.582307600;11.051499500
51;-85.581854900;11.051395890
52;-85.580303600;11.050768140
53;-85.578329700;11.049938200
54;-85.577469700;11.049602040
55;-85.575165500;11.048622400
56;-85.573967400;11.048121460
57;-85.573344900;11.047784060
58;-85.572537700;11.047288640
59;-85.571615800;11.046854380
60;-85.570756300;11.046624180
61;-85.570258000;11.046573780
62;-85.567949100;11.046139130
63;-85.565571400;11.045727530
64;-85.563470000;11.045397750
65;-85.562718100;11.045219960
66;-85.562341600;11.045032660
67;-85.561472800;11.044492110
68;-85.560619100;11.043906070
69;-85.560041900;11.043439710
70;-85.559780400;11.043244240
71;-85.558705800;11.042916700
72;-85.557516200;11.042567040
73;-85.556633700;11.042329340
74;-85.554253100;11.041357490
75;-85.552755900;11.040789860
76;-85.552364400;11.040670750
77;-85.551720400;11.040598350
78;-85.551068600;11.040518430
79;-85.550339700;11.040348050
80;-85.549894200;11.040138380
81;-85.549017800;11.039597830
82;-85.548409800;11.039101320
83;-85.547824000;11.038445740
84;-85.547331300;11.038009200
85;-85.547016300;11.037859410
86;-85.546357300;11.037855210
87;-85.545309500;11.038246620
88;-85.543872400;11.038912540
89;-85.543612400;11.039012270
90;-85.542846700;11.039129720
91;-85.542058000;11.039247290
92;-85.541583400;11.039340540
93;-85.540939800;11.039343820
94;-85.540472000;11.039278070
95;-85.539697000;11.039070060
96;-85.539014100;11.038914560
97;-85.538246100;11.038585380
98;-85.537861300;11.038254260
99;-85.537358100;11.037280290
100;-85.536785600;11.036223400
101;-85.536236500;11.035257240
102;-85.535758300;11.034669200
103;-85.535204200;11.034195110
104;-85.534182400;11.033685530
105;-85.533215100;11.033349780
106;-85.532516300;11.033065650
107;-85.531481400;11.032987620
