numeros,Coord_x,Coord_y
1,476271,1098769
2,476217,1098776
3,476184,1098790
4,476155,1098805
5,476096,1098850
6,476073,1098870
7,476049,1098880
8,476027,1098878
9,476010,1098873
10,475920,1098742
11,475918,1098739
12,475915,1098736
13,475912,1098733
14,475909,1098730
15,475906,1098727
16,475903,1098724
17,475900,1098721
18,475897,1098718
19,475894,1098715
20,475891,1098712
21,475888,1098710
22,475885,1098707
23,475882,1098704
24,475878,1098701
25,475875,1098699
26,475872,1098696
27,475869,1098693
28,475865,1098691
29,475862,1098688
30,475859,1098685
31,475856,1098683
32,475852,1098680
33,475849,1098678
34,475846,1098675
35,475842,1098673
36,475839,1098671
37,475835,1098668
38,475832,1098666
39,475828,1098664
40,475824,1098662
41,475821,1098660
42,475817,1098658
43,475813,1098657
44,475809,1098655
45,475806,1098653
46,475802,1098651
47,475798,1098649
48,475794,1098647
49,475791,1098646
50,475787,1098644
51,475783,1098642
52,475779,1098640
53,475775,1098639
54,475772,1098637
55,475768,1098635
56,475764,1098633
57,475760,1098632
58,475756,1098630
59,475752,1098628
60,475749,1098626
61,475745,1098625
62,475741,1098623
63,475737,1098621
64,475733,1098620
65,475729,1098618
66,475725,1098616
67,475722,1098615
68,475718,1098613
69,475714,1098611
70,475710,1098610
71,475706,1098608
72,475703,1098606
73,475699,1098604
74,475695,1098602
75,475691,1098600
76,475688,1098598
77,475684,1098596
78,475680,1098594
79,475677,1098592
80,475673,1098590
81,475669,1098588
82,475666,1098586
83,475662,1098584
84,475658,1098582
85,475654,1098581
86,475650,1098579
87,475646,1098577
88,475643,1098575
89,475639,1098574
90,475635,1098572
91,475631,1098570
92,475627,1098569
93,475624,1098567
94,475620,1098565
95,475616,1098563
96,475612,1098562
97,475608,1098560
98,475604,1098559
99,475601,1098557
100,475597,1098556
101,475593,1098554
102,475589,1098553
103,475585,1098551
104,475581,1098550
105,475577,1098549
106,475573,1098547
107,475569,1098546
108,475565,1098544
109,475561,1098543
110,475557,1098542
111,475553,1098541
112,475545,1098538
113,475541,1098537
114,475537,1098536
115,475533,1098535
116,475529,1098534
117,475525,1098533
118,475521,1098532
119,475517,1098531
120,475513,1098530
121,475509,1098529
122,475504,1098528
123,475500,1098528
124,475496,1098527
125,475492,1098526
126,475488,1098525
127,475483,1098525
128,475479,1098524
129,475475,1098524
130,475471,1098523
131,475467,1098523
132,475463,1098522
133,475458,1098522
134,475454,1098522
135,475450,1098521
136,475446,1098521
137,475442,1098520
138,475437,1098520
139,475433,1098520
140,475429,1098519
141,475425,1098519
142,475421,1098519
143,475416,1098518
144,475412,1098518
145,475408,1098517
146,475404,1098517
147,475400,1098517
148,475395,1098516
149,475391,1098516
150,475387,1098516
151,475383,1098515
152,475379,1098515
153,475374,1098515
154,475370,1098514
155,475366,1098514
156,475362,1098513
157,475358,1098513
158,475354,1098513
159,475349,1098512
160,475345,1098512
161,475341,1098512
162,475337,1098511
163,475332,1098511
164,475328,1098511
165,475324,1098510
166,475320,1098510
167,475316,1098510
168,475312,1098509
169,475307,1098509
170,475303,1098509
171,475299,1098509
172,475295,1098508
173,475291,1098508
174,475286,1098508
175,475282,1098507
176,475278,1098507
177,475274,1098507
178,475270,1098506
179,475265,1098506
180,475261,1098506
181,475257,1098505
182,475253,1098505
183,475249,1098505
184,475244,1098504
185,475240,1098504
186,475236,1098504
187,475232,1098503
188,475227,1098503
189,475223,1098503
190,475219,1098502
191,475215,1098502
192,475211,1098501
193,475207,1098501
194,475202,1098501
195,475198,1098500
196,475194,1098500
197,475190,1098499
198,475186,1098499
199,475181,1098499
200,475177,1098499
201,475173,1098498
202,475169,1098498
203,475165,1098498
204,475160,1098497
205,475156,1098497
206,475152,1098497
207,475148,1098496
208,475143,1098496
209,475139,1098496
210,475135,1098495
211,475131,1098495
212,475123,1098494
213,475118,1098494
214,475114,1098494
215,475110,1098493
216,475106,1098493
217,475101,1098493
218,475097,1098493
219,475093,1098492
220,475089,1098492
221,475085,1098492
222,475080,1098491
223,475076,1098491
224,475072,1098491
225,475068,1098490
226,475064,1098490
227,475059,1098490
228,475055,1098489
229,475051,1098489
230,475047,1098489
231,475043,1098488
232,475038,1098488
233,475034,1098488
234,475030,1098487
235,475026,1098487
236,475022,1098487
237,475017,1098486
238,475013,1098486
239,475009,1098486
240,475005,1098485
241,475001,1098485
242,474997,1098484
243,474992,1098484
244,474988,1098484
245,474984,1098483
246,474980,1098483
247,474975,1098483
248,474971,1098482
249,474967,1098482
250,474963,1098482
251,474959,1098482
252,474955,1098481
253,474950,1098481
254,474946,1098481
255,474942,1098480
256,474938,1098480
257,474934,1098480
258,474929,1098479
259,474925,1098479
260,474921,1098479
261,474917,1098478
262,474913,1098478
263,474908,1098478
264,474904,1098477
265,474900,1098477
266,474896,1098477
267,474892,1098476
268,474888,1098476
269,474883,1098476
270,474879,1098475
271,474875,1098475
272,474871,1098474
273,474867,1098474
274,474862,1098474
275,474858,1098474
276,474854,1098473
277,474850,1098473
278,474846,1098473
279,474841,1098473
280,474837,1098472
281,474833,1098472
282,474829,1098472
283,474824,1098471
284,474820,1098471
285,474816,1098471
286,474812,1098470
287,474808,1098470
288,474804,1098470
289,474799,1098469
290,474795,1098469
291,474791,1098469
292,474787,1098468
293,474782,1098468
294,474778,1098468
295,474774,1098467
296,474770,1098467
297,474766,1098467
298,474762,1098466
299,474758,1098466
300,474753,1098466
301,474749,1098465
302,474745,1098465
303,474741,1098465
304,474737,1098464
305,474732,1098464
306,474728,1098463
307,474724,1098463
308,474720,1098463
309,474716,1098462
310,474712,1098462
311,474707,1098462
312,474703,1098462
313,474699,1098461
314,474695,1098461
315,474691,1098461
316,474686,1098460
317,474682,1098460
318,474678,1098460
319,474674,1098459
320,474670,1098459
321,474665,1098459
322,474661,1098458
323,474657,1098458
324,474653,1098458
325,474649,1098457
326,474644,1098457
327,474640,1098457
328,474636,1098457
329,474632,1098456
330,474628,1098456
331,474623,1098456
332,474619,1098455
333,474615,1098455
334,474611,1098455
335,474607,1098454
336,474602,1098454
337,474598,1098454
338,474594,1098453
339,474590,1098453
340,474586,1098452
341,474582,1098452
342,474577,1098452
343,474573,1098451
344,474569,1098451
345,474565,1098451
346,474561,1098450
347,474556,1098450
348,474552,1098450
349,474548,1098449
350,474544,1098449
351,474540,1098449
352,474535,1098448
353,474531,1098448
354,474527,1098448
355,474523,1098447
356,474519,1098447
357,474515,1098447
358,474510,1098446
359,474506,1098446
360,474502,1098446
361,474498,1098445
362,474494,1098445
363,474489,1098445
364,474485,1098444
365,474481,1098444
366,474477,1098444
367,474473,1098443
368,474468,1098443
369,474464,1098443
370,474460,1098442
371,474456,1098442
372,474452,1098442
373,474448,1098442
374,474443,1098441
375,474439,1098441
376,474435,1098441
377,474431,1098440
378,474427,1098440
379,474422,1098440
380,474418,1098439
381,474414,1098439
382,474410,1098439
383,474406,1098438
384,474401,1098438
385,474397,1098438
386,474393,1098437
387,474389,1098437
388,474385,1098437
