numero,Coord_x,Coord_y
1,636536,1067854
2,636539,1067856
3,636543,1067859
4,636546,1067862
5,636549,1067865
6,636552,1067867
7,636555,1067870
8,636558,1067873
9,636561,1067876
10,636564,1067880
11,636567,1067883
12,636570,1067886
13,636573,1067889
14,636576,1067892
15,636579,1067894
16,636582,1067897
17,636585,1067900
18,636588,1067904
19,636591,1067907
20,636594,1067910
21,636596,1067913
22,636599,1067916
23,636602,1067919
24,636605,1067922
25,636608,1067925
26,636611,1067928
27,636613,1067931
28,636616,1067935
29,636619,1067938
30,636622,1067941
31,636625,1067944
32,636628,1067947
33,636631,1067950
34,636633,1067953
35,636636,1067956
36,636639,1067960
37,636641,1067963
38,636644,1067966
39,636647,1067969
40,636649,1067973
41,636652,1067976
42,636655,1067979
43,636658,1067982
44,636661,1067985
45,636664,1067988
46,636667,1067991
47,636670,1067994
48,636672,1067997
49,636675,1068000
50,636678,1068003
51,636681,1068006
52,636684,1068010
53,636687,1068013
54,636690,1068016
55,636692,1068019
56,636695,1068022
57,636698,1068025
58,636701,1068028
59,636703,1068032
60,636706,1068035
61,636709,1068038
62,636712,1068041
63,636715,1068044
64,636718,1068048
65,636720,1068051
66,636723,1068054
67,636726,1068057
68,636729,1068060
69,636732,1068063
70,636734,1068066
71,636737,1068070
72,636740,1068073
73,636743,1068076
74,636745,1068079
75,636748,1068082
76,636751,1068086
77,636754,1068089
78,636756,1068092
79,636759,1068095
80,636762,1068098
81,636764,1068101
82,636767,1068105
83,636770,1068107
84,636773,1068111
85,636776,1068114
86,636779,1068116
87,636782,1068119
88,636786,1068122
89,636788,1068123
90,636789,1068123
91,636793,1068125
92,636797,1068126
93,636801,1068126
94,636806,1068126
95,636810,1068126
96,636814,1068127
97,636818,1068127
98,636822,1068127
99,636827,1068127
100,636831,1068126
101,636835,1068126
102,636839,1068126
103,636843,1068126
104,636848,1068126
105,636852,1068126
106,636856,1068126
107,636860,1068127
108,636864,1068127
109,636869,1068127
110,636873,1068128
111,636877,1068130
112,636881,1068132
113,636884,1068134
114,636888,1068136
115,636895,1068141
116,636898,1068144
117,636901,1068147
118,636904,1068150
119,636907,1068152
120,636911,1068155
121,636914,1068158
122,636917,1068161
123,636920,1068164
124,636923,1068166
125,636926,1068169
126,636929,1068172
127,636932,1068175
128,636935,1068178
129,636938,1068181
130,636942,1068184
131,636945,1068187
132,636948,1068190
133,636951,1068193
134,636954,1068196
135,636956,1068199
136,636959,1068202
137,636962,1068205
138,636965,1068208
139,636968,1068211
140,636971,1068214
141,636973,1068218
142,636976,1068221
143,636979,1068224
144,636982,1068227
145,636985,1068230
146,636988,1068233
147,636991,1068236
148,636994,1068239
149,636997,1068242
150,637000,1068245
151,637003,1068247
152,637007,1068249
153,637010,1068250
154,637014,1068252
155,637018,1068253
156,637022,1068254
157,637026,1068255
158,637030,1068256
159,637035,1068257
160,637039,1068257
161,637043,1068257
162,637047,1068257
163,637051,1068257
164,637055,1068257
165,637059,1068257
166,637064,1068257
167,637068,1068257
168,637072,1068258
169,637076,1068258
170,637081,1068259
171,637085,1068259
172,637089,1068260
173,637093,1068261
174,637097,1068262
175,637101,1068263
176,637105,1068264
177,637109,1068266
178,637113,1068267
179,637117,1068268
180,637121,1068269
181,637125,1068271
182,637129,1068272
183,637133,1068273
184,637137,1068274
185,637141,1068275
186,637145,1068276
187,637149,1068278
188,637153,1068279
189,637157,1068280
190,637162,1068280
191,637166,1068281
192,637170,1068281
193,637174,1068281
194,637178,1068282
195,637182,1068282
196,637186,1068282
197,637191,1068283
198,637195,1068283
199,637199,1068283
200,637203,1068283
201,637207,1068283
202,637212,1068283
203,637216,1068283
204,637220,1068283
205,637224,1068283
206,637228,1068283
207,637233,1068282
208,637237,1068281
209,637241,1068281
210,637245,1068280
211,637249,1068279
212,637253,1068277
213,637257,1068276
214,637261,1068275
215,637265,1068273
216,637269,1068272
217,637273,1068270
218,637277,1068269
219,637280,1068268
220,637284,1068266
221,637288,1068265
222,637293,1068264
223,637297,1068263
224,637301,1068262
225,637305,1068260
226,637309,1068259
227,637313,1068258
228,637317,1068256
229,637321,1068255
230,637324,1068254
231,637328,1068252
232,637332,1068251
233,637336,1068250
234,637340,1068248
235,637344,1068247
236,637348,1068246
237,637352,1068244
238,637356,1068243
239,637360,1068242
240,637364,1068240
241,637368,1068239
242,637372,1068237
243,637376,1068236
244,637380,1068235
245,637384,1068234
246,637388,1068232
247,637392,1068231
248,637396,1068230
249,637400,1068228
250,637404,1068227
251,637408,1068225
252,637412,1068224
253,637416,1068222
254,637420,1068221
255,637424,1068219
256,637427,1068217
257,637431,1068216
258,637435,1068214
259,637439,1068212
260,637442,1068210
261,637446,1068208
262,637449,1068206
263,637453,1068203
264,637456,1068201
265,637460,1068198
266,637463,1068196
267,637467,1068194
268,637470,1068191
269,637474,1068189
270,637478,1068187
271,637481,1068186
272,637485,1068184
273,637489,1068182
274,637493,1068180
275,637497,1068178
276,637500,1068176
277,637504,1068175
278,637508,1068173
279,637512,1068171
280,637516,1068169
281,637520,1068167
282,637524,1068166
283,637527,1068164
284,637531,1068163
285,637536,1068161
286,637540,1068160
287,637544,1068159
288,637548,1068158
289,637552,1068158
290,637556,1068157
291,637560,1068156
292,637565,1068156
293,637569,1068155
294,637573,1068155
295,637577,1068154
296,637581,1068153
297,637585,1068152
298,637589,1068151
299,637593,1068150
300,637597,1068148
301,637601,1068147
302,637605,1068145
303,637609,1068143
304,637612,1068141
305,637616,1068139
306,637619,1068137
307,637623,1068135
308,637626,1068132
309,637630,1068130
310,637633,1068128
311,637637,1068125
312,637640,1068122
313,637643,1068120
314,637646,1068117
315,637649,1068114
316,637653,1068112
317,637656,1068109
318,637660,1068107
319,637663,1068105
320,637667,1068103
321,637671,1068101
322,637675,1068099
323,637679,1068098
324,637682,1068096
325,637686,1068095
326,637690,1068093
327,637694,1068092
328,637699,1068091
329,637703,1068090
330,637707,1068089
331,637711,1068088
332,637715,1068087
333,637719,1068087
334,637728,1068085
335,637732,1068084
336,637736,1068083
337,637740,1068083
338,637744,1068082
339,637748,1068080
340,637752,1068079
341,637756,1068078
342,637760,1068076
343,637764,1068075
344,637768,1068073
345,637772,1068072
346,637776,1068071
347,637779,1068069
348,637783,1068067
349,637787,1068066
350,637791,1068064
351,637795,1068063
352,637799,1068061
353,637803,1068060
354,637807,1068059
355,637811,1068057
356,637815,1068056
357,637819,1068054
358,637823,1068053
359,637827,1068051
360,637831,1068050
361,637835,1068048
362,637839,1068046
363,637842,1068045
364,637846,1068043
365,637850,1068042
366,637854,1068040
367,637858,1068038
368,637862,1068037
369,637866,1068035
370,637869,1068033
371,637873,1068031
372,637877,1068030
373,637881,1068027
374,637884,1068026
375,637888,1068023
376,637892,1068021
377,637895,1068019
378,637899,1068017
379,637902,1068015
380,637906,1068012
381,637909,1068010
382,637913,1068008
383,637916,1068005
384,637919,1068003
385,637923,1068000
386,637926,1067997
387,637929,1067995
388,637932,1067992
389,637936,1067990
390,637940,1067987
391,637943,1067985
392,637947,1067983
393,637951,1067981
394,637955,1067980
395,637959,1067978
396,637962,1067976
397,637966,1067975
398,637970,1067974
399,637975,1067973
400,637979,1067972
401,637983,1067971
402,637987,1067970
403,637991,1067969
404,637995,1067968
405,637999,1067967
406,638003,1067966
407,638007,1067965
408,638011,1067964
409,638015,1067963
410,638019,1067962
411,638023,1067961
412,638027,1067959
413,638031,1067957
414,638035,1067955
415,638038,1067953
416,638042,1067951
417,638045,1067949
418,638049,1067947
419,638052,1067944
420,638055,1067941
421,638058,1067938
422,638061,1067935
423,638064,1067932
424,638067,1067929
425,638069,1067926
426,638072,1067923
427,638074,1067919
428,638076,1067916
429,638078,1067912
430,638080,1067908
431,638082,1067905
432,638084,1067901
433,638086,1067897
434,638088,1067893
435,638089,1067889
436,638091,1067885
437,638093,1067882
438,638095,1067878
439,638096,1067874
440,638098,1067870
441,638100,1067866
442,638101,1067862
443,638103,1067859
444,638105,1067855
445,638106,1067851
446,638108,1067847
447,638109,1067843
448,638111,1067839
449,638112,1067835
450,638114,1067831
451,638115,1067827
452,638117,1067823
453,638119,1067819
454,638120,1067815
455,638122,1067812
456,638123,1067807
457,638125,1067804
458,638126,1067800
459,638128,1067796
460,638129,1067792
461,638131,1067788
462,638132,1067784
463,638134,1067780
464,638135,1067776
465,638137,1067772
466,638138,1067769
467,638140,1067765
468,638141,1067761
469,638143,1067757
470,638145,1067753
471,638146,1067749
472,638148,1067745
473,638150,1067742
474,638153,1067738
475,638155,1067734
476,638157,1067731
477,638160,1067727
478,638163,1067724
479,638166,1067721
480,638169,1067718
481,638172,1067716
482,638176,1067713
483,638179,1067711
484,638182,1067708
485,638186,1067706
486,638189,1067703
487,638193,1067701
488,638196,1067699
489,638200,1067697
490,638203,1067694
491,638207,1067692
492,638211,1067690
493,638214,1067688
494,638218,1067685
495,638221,1067683
496,638225,1067681
497,638228,1067678
498,638231,1067675
499,638235,1067673
500,638238,1067670
501,638241,1067668
502,638244,1067665
503,638248,1067662
504,638251,1067660
505,638254,1067657
506,638258,1067655
507,638261,1067652
508,638264,1067650
509,638268,1067647
510,638271,1067645
511,638274,1067642
512,638277,1067639
513,638281,1067637
514,638284,1067634
515,638287,1067631
516,638290,1067629
517,638294,1067626
518,638297,1067623
519,638300,1067620
520,638303,1067618
521,638306,1067615
522,638310,1067612
523,638313,1067609
524,638316,1067607
525,638319,1067604
526,638323,1067601
527,638326,1067598
528,638329,1067596
529,638332,1067593
530,638335,1067590
531,638339,1067588
532,638342,1067585
533,638345,1067582
534,638348,1067579
535,638351,1067576
536,638354,1067574
537,638357,1067571
538,638360,1067568
539,638363,1067566
540,638367,1067563
541,638370,1067560
542,638373,1067557
543,638376,1067554
544,638379,1067552
545,638382,1067549
546,638385,1067546
547,638389,1067543
548,638392,1067541
549,638395,1067538
550,638398,1067535
551,638401,1067532
552,638404,1067529
553,638407,1067527
554,638410,1067524
555,638414,1067521
556,638417,1067518
557,638420,1067515
558,638423,1067512
559,638426,1067510
560,638429,1067507
561,638433,1067504
562,638436,1067501
563,638439,1067499
564,638442,1067496
565,638445,1067493
566,638448,1067490
567,638451,1067487
568,638454,1067484
569,638457,1067481
570,638460,1067478
571,638463,1067475
572,638466,1067472
573,638469,1067469
574,638472,1067466
575,638475,1067463
576,638478,1067461
577,638482,1067458
578,638485,1067455
579,638488,1067452
580,638491,1067450
581,638494,1067447
582,638498,1067444
583,638501,1067441
584,638504,1067438
585,638507,1067436
586,638510,1067433
587,638513,1067430
588,638516,1067428
589,638520,1067425
590,638523,1067422
591,638526,1067419
592,638529,1067417
593,638533,1067414
594,638536,1067411
595,638539,1067409
596,638542,1067406
597,638546,1067403
598,638549,1067401
599,638552,1067398
600,638555,1067395
601,638559,1067392
602,638562,1067390
603,638565,1067387
604,638568,1067384
605,638571,1067381
606,638575,1067379
607,638578,1067376
608,638581,1067373
609,638584,1067370
610,638587,1067368
611,638590,1067365
612,638594,1067362
613,638597,1067359
614,638600,1067357
615,638603,1067354
616,638606,1067351
617,638609,1067348
618,638612,1067345
619,638615,1067342
620,638618,1067339
621,638621,1067336
622,638624,1067333
623,638626,1067330
624,638629,1067327
625,638632,1067323
626,638634,1067320
627,638637,1067317
628,638639,1067313
629,638642,1067310
630,638644,1067307
631,638647,1067303
632,638649,1067300
633,638652,1067296
634,638654,1067293
635,638656,1067290
636,638659,1067286
637,638661,1067283
638,638664,1067279
639,638666,1067276
640,638669,1067272
641,638671,1067269
642,638673,1067265
643,638676,1067262
644,638678,1067258
645,638680,1067255
646,638683,1067251
647,638685,1067248
648,638688,1067244
649,638690,1067241
650,638692,1067237
651,638694,1067234
652,638697,1067230
653,638699,1067227
654,638701,1067223
655,638703,1067220
656,638706,1067216
657,638708,1067213
658,638710,1067209
659,638713,1067206
660,638715,1067202
661,638717,1067199
662,638720,1067195
663,638724,1067188
664,638726,1067184
665,638729,1067181
666,638731,1067177
667,638733,1067174
668,638735,1067170
669,638738,1067167
670,638740,1067163
671,638742,1067160
672,638744,1067156
673,638746,1067152
674,638748,1067149
675,638751,1067145
676,638752,1067141
677,638754,1067138
678,638756,1067134
679,638758,1067130
680,638760,1067126
681,638761,1067122
682,638763,1067118
683,638764,1067115
684,638765,1067110
685,638766,1067106
686,638767,1067102
687,638768,1067098
688,638769,1067094
689,638770,1067090
690,638770,1067086
691,638771,1067082
692,638771,1067078
693,638771,1067074
694,638771,1067069
695,638771,1067065
696,638771,1067061
697,638771,1067057
698,638771,1067053
699,638771,1067048
700,638771,1067044
701,638771,1067040
702,638771,1067036
703,638772,1067031
704,638772,1067027
705,638772,1067023
706,638772,1067019
707,638772,1067015
708,638772,1067010
709,638773,1067006
710,638773,1067002
711,638773,1066998
712,638774,1066994
713,638774,1066989
714,638775,1066985
715,638775,1066981
716,638776,1066977
717,638776,1066973
718,638777,1066969
719,638778,1066964
720,638779,1066960
721,638780,1066956
722,638780,1066952
723,638782,1066948
724,638783,1066944
725,638784,1066940
726,638786,1066936
727,638788,1066932
728,638789,1066928
729,638792,1066925
730,638794,1066921
731,638797,1066918
732,638799,1066914
733,638802,1066911
734,638805,1066908
735,638808,1066905
736,638811,1066902
737,638814,1066899
738,638817,1066896
739,638820,1066893
740,638823,1066890
741,638826,1066888
742,638829,1066885
743,638832,1066881
744,638835,1066879
745,638838,1066875
746,638841,1066872
747,638844,1066869
