numero,Coord_x,Coord_y
1,494044,1098919
2,494043,1098922
3,494042,1098926
4,494042,1098931
5,494041,1098935
6,494040,1098939
7,494039,1098943
8,494038,1098947
9,494037,1098951
10,494036,1098955
11,494035,1098959
12,494034,1098963
13,494033,1098967
14,494032,1098972
15,494031,1098976
16,494031,1098980
17,494030,1098984
18,494029,1098988
19,494029,1098992
20,494028,1098996
21,494028,1099000
22,494028,1099004
23,494028,1099009
24,494028,1099013
25,494029,1099017
26,494030,1099021
27,494031,1099025
28,494032,1099029
29,494033,1099033
30,494033,1099037
31,494034,1099042
32,494033,1099046
33,494033,1099050
34,494032,1099054
35,494031,1099059
36,494029,1099062
37,494027,1099066
38,494025,1099070
39,494022,1099073
40,494020,1099076
41,494017,1099079
42,494013,1099082
43,494010,1099085
44,494007,1099087
45,494003,1099090
46,494000,1099093
47,493997,1099095
48,493994,1099098
49,493991,1099101
50,493989,1099105
51,493987,1099108
52,493985,1099112
53,493982,1099115
54,493980,1099119
55,493978,1099122
56,493975,1099126
57,493973,1099129
58,493970,1099133
59,493967,1099136
60,493965,1099139
61,493962,1099142
62,493959,1099145
63,493956,1099149
64,493953,1099152
65,493950,1099155
66,493948,1099157
67,493944,1099160
68,493941,1099163
69,493938,1099166
70,493935,1099169
71,493932,1099171
72,493929,1099174
73,493926,1099177
74,493922,1099179
75,493919,1099182
76,493916,1099185
77,493913,1099187
78,493910,1099190
79,493906,1099193
80,493903,1099195
81,493900,1099198
82,493897,1099201
83,493893,1099203
84,493890,1099206
85,493887,1099209
86,493884,1099211
87,493881,1099214
88,493877,1099217
89,493874,1099219
90,493871,1099222
91,493867,1099225
92,493864,1099227
93,493861,1099230
94,493858,1099233
95,493855,1099235
96,493851,1099238
97,493848,1099241
98,493845,1099243
99,493842,1099246
100,493838,1099249
101,493835,1099251
102,493832,1099254
103,493829,1099257
104,493825,1099260
105,493822,1099262
106,493819,1099265
107,493816,1099267
108,493812,1099270
109,493809,1099272
110,493806,1099275
111,493802,1099277
112,493799,1099280
113,493795,1099282
114,493792,1099285
115,493788,1099287
116,493785,1099289
117,493781,1099292
118,493778,1099294
119,493774,1099296
120,493770,1099298
121,493767,1099299
122,493763,1099301
123,493762,1099302
124,493869,1098325
125,493869,1098326
126,493869,1098331
127,493868,1098335
128,493868,1098339
129,493867,1098343
130,493867,1098347
131,493866,1098351
132,493866,1098356
133,493866,1098360
134,493866,1098364
135,493866,1098368
136,493866,1098372
137,493867,1098376
138,493867,1098381
139,493867,1098385
140,493868,1098389
141,493868,1098393
142,493869,1098397
143,493869,1098401
144,493870,1098405
145,493871,1098410
146,493871,1098414
147,493872,1098418
